Customer ID,Date,Customer Type,Product Rev,Shipping Rev,Total Rev,Items,Product Disc.,Saving Type,Product Cost,Shipping Cost,CAC
292,1/1/2022,New,$183.33,$0.00,$183.33,1,20.00%,Coupon,$45.83,$9.99,$82.00
298,1/1/2022,New,$115.69,$0.00,$115.69,3,20.00%,Coupon,$28.92,$9.99,$82.00
326,1/1/2022,New,$110.78,$0.00,$110.78,3,20.00%,Coupon,$27.70,$9.99,$82.00
328,1/1/2022,New,$85.29,$9.99,$95.28,3,20.00%,Coupon,$21.32,$9.99,$82.00
333,1/1/2022,New,$135.29,$0.00,$135.29,3,0.00%,None,$27.06,$9.99,$82.00
374,1/1/2022,New,$137.25,$0.00,$137.25,2,15.00%,Coupon,$32.29,$9.99,$82.00
384,1/1/2022,New,$78.43,$9.99,$88.42,3,15.00%,Coupon,$18.45,$9.99,$82.00
438,1/1/2022,New,$122.55,$0.00,$122.55,3,0.00%,None,$24.51,$9.99,$82.00
467,1/1/2022,New,$131.37,$0.00,$131.37,1,15.00%,Coupon,$30.91,$9.99,$82.00
485,1/1/2022,New,$173.53,$0.00,$173.53,2,15.00%,Coupon,$40.83,$9.99,$82.00
507,1/1/2022,New,$123.53,$0.00,$123.53,2,15.00%,Coupon,$29.07,$9.99,$82.00
527,1/1/2022,New,$171.57,$0.00,$171.57,3,15.00%,Coupon,$40.37,$9.99,$82.00
569,1/1/2022,New,$171.57,$0.00,$171.57,3,15.00%,Coupon,$40.37,$9.99,$82.00
579,1/1/2022,New,$166.67,$0.00,$166.67,1,15.00%,Coupon,$39.22,$9.99,$82.00
633,1/1/2022,New,$57.84,$9.99,$67.83,1,15.00%,Coupon,$13.61,$9.99,$82.00
635,1/1/2022,New,$152.94,$0.00,$152.94,2,15.00%,Coupon,$35.99,$9.99,$82.00
653,1/1/2022,New,$160.78,$0.00,$160.78,3,20.00%,Coupon,$40.20,$9.99,$82.00
675,1/1/2022,New,$168.63,$0.00,$168.63,3,0.00%,None,$33.73,$9.99,$82.00
691,1/1/2022,New,$116.67,$0.00,$116.67,3,0.00%,None,$23.33,$9.99,$82.00
694,1/1/2022,New,$173.53,$0.00,$173.53,1,20.00%,Coupon,$43.38,$9.99,$82.00
794,1/1/2022,New,$50.98,$9.99,$60.97,1,20.00%,Coupon,$12.75,$9.99,$82.00
795,1/1/2022,New,$84.31,$9.99,$94.30,2,15.00%,Coupon,$19.84,$9.99,$82.00
796,1/1/2022,New,$113.73,$0.00,$113.73,1,15.00%,Coupon,$26.76,$9.99,$82.00
873,1/1/2022,New,$56.86,$9.99,$66.85,1,15.00%,Coupon,$13.38,$9.99,$82.00
919,1/1/2022,New,$84.31,$9.99,$94.30,2,0.00%,None,$16.86,$9.99,$82.00
957,1/1/2022,New,$128.43,$0.00,$128.43,2,0.00%,None,$25.69,$9.99,$82.00
961,1/1/2022,New,$120.59,$0.00,$120.59,3,15.00%,Coupon,$28.37,$9.99,$82.00
963,1/1/2022,New,$114.71,$0.00,$114.71,2,15.00%,Coupon,$26.99,$9.99,$82.00
974,1/1/2022,New,$82.35,$9.99,$92.34,3,15.00%,Coupon,$19.38,$9.99,$82.00
982,1/1/2022,New,$132.35,$0.00,$132.35,1,20.00%,Coupon,$33.09,$9.99,$82.00
995,1/1/2022,New,$98.04,$9.99,$108.03,2,0.00%,None,$19.61,$9.99,$82.00
998,1/1/2022,New,$148.04,$0.00,$148.04,3,0.00%,None,$29.61,$9.99,$82.00
12,1/2/2022,New,$150.98,$0.00,$150.98,2,20.00%,Coupon,$37.75,$9.99,$93.00
82,1/2/2022,New,$107.84,$0.00,$107.84,2,20.00%,Coupon,$26.96,$9.99,$93.00
117,1/2/2022,New,$154.90,$0.00,$154.90,1,20.00%,Coupon,$38.73,$9.99,$93.00
141,1/2/2022,New,$137.25,$0.00,$137.25,3,20.00%,Coupon,$34.31,$9.99,$93.00
159,1/2/2022,New,$67.65,$9.99,$77.64,2,15.00%,Coupon,$15.92,$9.99,$93.00
174,1/2/2022,New,$168.63,$0.00,$168.63,1,0.00%,None,$33.73,$9.99,$93.00
194,1/2/2022,New,$73.53,$9.99,$83.52,2,15.00%,Coupon,$17.30,$9.99,$93.00
198,1/2/2022,New,$94.12,$9.99,$104.11,2,15.00%,Coupon,$22.15,$9.99,$93.00
212,1/2/2022,New,$164.71,$0.00,$164.71,2,15.00%,Coupon,$38.76,$9.99,$93.00
216,1/2/2022,New,$79.41,$9.99,$89.40,1,0.00%,None,$15.88,$9.99,$93.00
224,1/2/2022,New,$157.84,$0.00,$157.84,2,15.00%,Coupon,$37.14,$9.99,$93.00
249,1/2/2022,New,$64.71,$9.99,$74.70,1,15.00%,Coupon,$15.23,$9.99,$93.00
262,1/2/2022,New,$146.08,$0.00,$146.08,3,0.00%,None,$29.22,$9.99,$93.00
303,1/2/2022,New,$125.49,$0.00,$125.49,2,20.00%,Coupon,$31.37,$9.99,$93.00
375,1/2/2022,New,$61.76,$9.99,$71.75,1,0.00%,None,$12.35,$9.99,$93.00
376,1/2/2022,New,$156.86,$0.00,$156.86,1,15.00%,Coupon,$36.91,$9.99,$93.00
410,1/2/2022,New,$142.16,$0.00,$142.16,3,20.00%,Coupon,$35.54,$9.99,$93.00
411,1/2/2022,New,$106.86,$0.00,$106.86,1,20.00%,Coupon,$26.72,$9.99,$93.00
425,1/2/2022,New,$172.55,$0.00,$172.55,1,0.00%,None,$34.51,$9.99,$93.00
432,1/2/2022,New,$57.84,$9.99,$67.83,1,0.00%,None,$11.57,$9.99,$93.00
435,1/2/2022,New,$175.49,$0.00,$175.49,1,20.00%,Coupon,$43.87,$9.99,$93.00
451,1/2/2022,New,$161.76,$0.00,$161.76,3,0.00%,None,$32.35,$9.99,$93.00
455,1/2/2022,New,$138.24,$0.00,$138.24,1,15.00%,Coupon,$32.53,$9.99,$93.00
504,1/2/2022,New,$182.35,$0.00,$182.35,1,15.00%,Coupon,$42.91,$9.99,$93.00
516,1/2/2022,New,$117.65,$0.00,$117.65,2,0.00%,None,$23.53,$9.99,$93.00
517,1/2/2022,New,$102.94,$0.00,$102.94,2,15.00%,Coupon,$24.22,$9.99,$93.00
519,1/2/2022,New,$164.71,$0.00,$164.71,3,15.00%,Coupon,$38.76,$9.99,$93.00
545,1/2/2022,New,$170.59,$0.00,$170.59,1,20.00%,Coupon,$42.65,$9.99,$93.00
560,1/2/2022,New,$60.78,$9.99,$70.77,1,15.00%,Coupon,$14.30,$9.99,$93.00
577,1/2/2022,New,$76.47,$9.99,$86.46,2,15.00%,Coupon,$17.99,$9.99,$93.00
580,1/2/2022,New,$142.16,$0.00,$142.16,2,20.00%,Coupon,$35.54,$9.99,$93.00
592,1/2/2022,New,$57.84,$9.99,$67.83,1,20.00%,Coupon,$14.46,$9.99,$93.00
616,1/2/2022,New,$174.51,$0.00,$174.51,2,15.00%,Coupon,$41.06,$9.99,$93.00
620,1/2/2022,New,$58.82,$9.99,$68.81,1,20.00%,Coupon,$14.71,$9.99,$93.00
630,1/2/2022,New,$117.65,$0.00,$117.65,2,15.00%,Coupon,$27.68,$9.99,$93.00
634,1/2/2022,New,$134.31,$0.00,$134.31,3,20.00%,Coupon,$33.58,$9.99,$93.00
655,1/2/2022,New,$135.29,$0.00,$135.29,1,20.00%,Coupon,$33.82,$9.99,$93.00
676,1/2/2022,New,$100.98,$0.00,$100.98,3,15.00%,Coupon,$23.76,$9.99,$93.00
696,1/2/2022,New,$149.02,$0.00,$149.02,3,15.00%,Coupon,$35.06,$9.99,$93.00
702,1/2/2022,New,$90.20,$9.99,$100.19,2,0.00%,None,$18.04,$9.99,$93.00
712,1/2/2022,New,$104.90,$0.00,$104.90,3,0.00%,None,$20.98,$9.99,$93.00
726,1/2/2022,New,$128.43,$0.00,$128.43,1,20.00%,Coupon,$32.11,$9.99,$93.00
734,1/2/2022,New,$170.59,$0.00,$170.59,2,20.00%,Coupon,$42.65,$9.99,$93.00
751,1/2/2022,New,$60.78,$9.99,$70.77,3,15.00%,Coupon,$14.30,$9.99,$93.00
759,1/2/2022,New,$161.76,$0.00,$161.76,3,15.00%,Coupon,$38.06,$9.99,$93.00
769,1/2/2022,New,$101.96,$0.00,$101.96,1,20.00%,Coupon,$25.49,$9.99,$93.00
771,1/2/2022,New,$179.41,$0.00,$179.41,1,0.00%,None,$35.88,$9.99,$93.00
814,1/2/2022,New,$151.96,$0.00,$151.96,1,0.00%,None,$30.39,$9.99,$93.00
816,1/2/2022,New,$162.75,$0.00,$162.75,1,20.00%,Coupon,$40.69,$9.99,$93.00
824,1/2/2022,New,$135.29,$0.00,$135.29,3,15.00%,Coupon,$31.83,$9.99,$93.00
886,1/2/2022,New,$102.94,$0.00,$102.94,2,20.00%,Coupon,$25.74,$9.99,$93.00
900,1/2/2022,New,$92.16,$9.99,$102.15,1,20.00%,Coupon,$23.04,$9.99,$93.00
913,1/2/2022,New,$77.45,$9.99,$87.44,1,15.00%,Coupon,$18.22,$9.99,$93.00
694,1/2/2022,Returning,$183.33,$0.00,$183.33,3,13.33%,Bundle,$42.31,$9.99,$0.00
42,1/3/2022,New,$177.45,$0.00,$177.45,2,15.00%,Coupon,$41.75,$9.99,$72.00
53,1/3/2022,New,$56.86,$9.99,$66.85,1,0.00%,None,$11.37,$9.99,$72.00
62,1/3/2022,New,$73.53,$9.99,$83.52,2,0.00%,None,$14.71,$9.99,$72.00
77,1/3/2022,New,$73.53,$9.99,$83.52,2,15.00%,Coupon,$17.30,$9.99,$72.00
122,1/3/2022,New,$115.69,$0.00,$115.69,1,15.00%,Coupon,$27.22,$9.99,$72.00
162,1/3/2022,New,$100.00,$0.00,$100.00,2,20.00%,Coupon,$25.00,$9.99,$72.00
165,1/3/2022,New,$140.20,$0.00,$140.20,3,15.00%,Coupon,$32.99,$9.99,$72.00
203,1/3/2022,New,$179.41,$0.00,$179.41,2,20.00%,Coupon,$44.85,$9.99,$72.00
205,1/3/2022,New,$61.76,$9.99,$71.75,2,20.00%,Coupon,$15.44,$9.99,$72.00
276,1/3/2022,New,$81.37,$9.99,$91.36,1,15.00%,Coupon,$19.15,$9.99,$72.00
367,1/3/2022,New,$162.75,$0.00,$162.75,3,15.00%,Coupon,$38.29,$9.99,$72.00
388,1/3/2022,New,$155.88,$0.00,$155.88,2,15.00%,Coupon,$36.68,$9.99,$72.00
439,1/3/2022,New,$141.18,$0.00,$141.18,1,15.00%,Coupon,$33.22,$9.99,$72.00
474,1/3/2022,New,$90.20,$9.99,$100.19,1,20.00%,Coupon,$22.55,$9.99,$72.00
475,1/3/2022,New,$123.53,$0.00,$123.53,1,0.00%,None,$24.71,$9.99,$72.00
480,1/3/2022,New,$75.49,$9.99,$85.48,3,20.00%,Coupon,$18.87,$9.99,$72.00
495,1/3/2022,New,$112.75,$0.00,$112.75,1,20.00%,Coupon,$28.19,$9.99,$72.00
505,1/3/2022,New,$70.59,$9.99,$80.58,1,15.00%,Coupon,$16.61,$9.99,$72.00
510,1/3/2022,New,$162.75,$0.00,$162.75,3,15.00%,Coupon,$38.29,$9.99,$72.00
515,1/3/2022,New,$114.71,$0.00,$114.71,2,0.00%,None,$22.94,$9.99,$72.00
524,1/3/2022,New,$144.12,$0.00,$144.12,3,20.00%,Coupon,$36.03,$9.99,$72.00
551,1/3/2022,New,$91.18,$9.99,$101.17,2,20.00%,Coupon,$22.80,$9.99,$72.00
555,1/3/2022,New,$140.20,$0.00,$140.20,3,20.00%,Coupon,$35.05,$9.99,$72.00
584,1/3/2022,New,$127.45,$0.00,$127.45,1,20.00%,Coupon,$31.86,$9.99,$72.00
596,1/3/2022,New,$115.69,$0.00,$115.69,2,15.00%,Coupon,$27.22,$9.99,$72.00
597,1/3/2022,New,$171.57,$0.00,$171.57,2,0.00%,None,$34.31,$9.99,$72.00
661,1/3/2022,New,$109.80,$0.00,$109.80,1,20.00%,Coupon,$27.45,$9.99,$72.00
695,1/3/2022,New,$182.35,$0.00,$182.35,1,20.00%,Coupon,$45.59,$9.99,$72.00
703,1/3/2022,New,$56.86,$9.99,$66.85,1,20.00%,Coupon,$14.22,$9.99,$72.00
736,1/3/2022,New,$114.71,$0.00,$114.71,1,0.00%,None,$22.94,$9.99,$72.00
742,1/3/2022,New,$126.47,$0.00,$126.47,1,15.00%,Coupon,$29.76,$9.99,$72.00
754,1/3/2022,New,$119.61,$0.00,$119.61,3,20.00%,Coupon,$29.90,$9.99,$72.00
772,1/3/2022,New,$183.33,$0.00,$183.33,2,15.00%,Coupon,$43.14,$9.99,$72.00
777,1/3/2022,New,$147.06,$0.00,$147.06,1,15.00%,Coupon,$34.60,$9.99,$72.00
811,1/3/2022,New,$97.06,$9.99,$107.05,2,15.00%,Coupon,$22.84,$9.99,$72.00
813,1/3/2022,New,$112.75,$0.00,$112.75,1,0.00%,None,$22.55,$9.99,$72.00
831,1/3/2022,New,$104.90,$0.00,$104.90,1,20.00%,Coupon,$26.23,$9.99,$72.00
862,1/3/2022,New,$95.10,$9.99,$105.09,3,0.00%,None,$19.02,$9.99,$72.00
883,1/3/2022,New,$127.45,$0.00,$127.45,1,20.00%,Coupon,$31.86,$9.99,$72.00
921,1/3/2022,New,$102.94,$0.00,$102.94,2,20.00%,Coupon,$25.74,$9.99,$72.00
960,1/3/2022,New,$104.90,$0.00,$104.90,2,15.00%,Coupon,$24.68,$9.99,$72.00
993,1/3/2022,New,$61.76,$9.99,$71.75,2,15.00%,Coupon,$14.53,$9.99,$72.00
86,1/3/2022,Returning,$134.31,$0.00,$134.31,3,0.00%,None,$26.86,$9.99,$0.00
93,1/3/2022,Returning,$170.59,$0.00,$170.59,3,0.00%,None,$34.12,$9.99,$0.00
93,1/3/2022,Returning,$168.63,$0.00,$168.63,1,0.00%,None,$33.73,$9.99,$0.00
141,1/3/2022,Returning,$116.67,$0.00,$116.67,2,0.00%,None,$23.33,$9.99,$0.00
212,1/3/2022,Returning,$64.71,$9.99,$74.70,2,20.00%,Coupon,$16.18,$9.99,$0.00
410,1/3/2022,Returning,$130.39,$0.00,$130.39,2,20.00%,Coupon,$32.60,$9.99,$0.00
712,1/3/2022,Returning,$54.90,$9.99,$64.89,1,0.00%,None,$10.98,$9.99,$0.00
886,1/3/2022,Returning,$88.24,$9.99,$98.23,3,33.33%,Bundle,$26.47,$9.99,$0.00
16,1/4/2022,New,$79.41,$9.99,$89.40,3,0.00%,None,$15.88,$9.99,$71.00
26,1/4/2022,New,$112.75,$0.00,$112.75,2,20.00%,Coupon,$28.19,$9.99,$71.00
64,1/4/2022,New,$154.90,$0.00,$154.90,1,0.00%,None,$30.98,$9.99,$71.00
99,1/4/2022,New,$86.27,$9.99,$96.26,1,15.00%,Coupon,$20.30,$9.99,$71.00
106,1/4/2022,New,$99.02,$9.99,$109.01,1,15.00%,Coupon,$23.30,$9.99,$71.00
113,1/4/2022,New,$177.45,$0.00,$177.45,1,15.00%,Coupon,$41.75,$9.99,$71.00
132,1/4/2022,New,$180.39,$0.00,$180.39,1,0.00%,None,$36.08,$9.99,$71.00
137,1/4/2022,New,$80.39,$9.99,$90.38,1,20.00%,Coupon,$20.10,$9.99,$71.00
177,1/4/2022,New,$52.94,$9.99,$62.93,1,15.00%,Coupon,$12.46,$9.99,$71.00
204,1/4/2022,New,$102.94,$0.00,$102.94,2,15.00%,Coupon,$24.22,$9.99,$71.00
232,1/4/2022,New,$127.45,$0.00,$127.45,3,0.00%,None,$25.49,$9.99,$71.00
240,1/4/2022,New,$141.18,$0.00,$141.18,1,20.00%,Coupon,$35.30,$9.99,$71.00
243,1/4/2022,New,$54.90,$9.99,$64.89,1,20.00%,Coupon,$13.73,$9.99,$71.00
267,1/4/2022,New,$132.35,$0.00,$132.35,2,15.00%,Coupon,$31.14,$9.99,$71.00
352,1/4/2022,New,$71.57,$9.99,$81.56,3,20.00%,Coupon,$17.89,$9.99,$71.00
369,1/4/2022,New,$117.65,$0.00,$117.65,1,20.00%,Coupon,$29.41,$9.99,$71.00
382,1/4/2022,New,$56.86,$9.99,$66.85,1,0.00%,None,$11.37,$9.99,$71.00
402,1/4/2022,New,$73.53,$9.99,$83.52,2,20.00%,Coupon,$18.38,$9.99,$71.00
512,1/4/2022,New,$82.35,$9.99,$92.34,2,15.00%,Coupon,$19.38,$9.99,$71.00
532,1/4/2022,New,$120.59,$0.00,$120.59,1,20.00%,Coupon,$30.15,$9.99,$71.00
550,1/4/2022,New,$154.90,$0.00,$154.90,1,0.00%,None,$30.98,$9.99,$71.00
581,1/4/2022,New,$116.67,$0.00,$116.67,2,15.00%,Coupon,$27.45,$9.99,$71.00
603,1/4/2022,New,$107.84,$0.00,$107.84,1,20.00%,Coupon,$26.96,$9.99,$71.00
605,1/4/2022,New,$137.25,$0.00,$137.25,1,0.00%,None,$27.45,$9.99,$71.00
610,1/4/2022,New,$127.45,$0.00,$127.45,3,15.00%,Coupon,$29.99,$9.99,$71.00
719,1/4/2022,New,$123.53,$0.00,$123.53,2,0.00%,None,$24.71,$9.99,$71.00
721,1/4/2022,New,$69.61,$9.99,$79.60,3,0.00%,None,$13.92,$9.99,$71.00
781,1/4/2022,New,$69.61,$9.99,$79.60,3,15.00%,Coupon,$16.38,$9.99,$71.00
798,1/4/2022,New,$59.80,$9.99,$69.79,1,15.00%,Coupon,$14.07,$9.99,$71.00
867,1/4/2022,New,$172.55,$0.00,$172.55,1,20.00%,Coupon,$43.14,$9.99,$71.00
869,1/4/2022,New,$96.08,$9.99,$106.07,3,15.00%,Coupon,$22.61,$9.99,$71.00
888,1/4/2022,New,$86.27,$9.99,$96.26,3,20.00%,Coupon,$21.57,$9.99,$71.00
905,1/4/2022,New,$68.63,$9.99,$78.62,3,15.00%,Coupon,$16.15,$9.99,$71.00
945,1/4/2022,New,$105.88,$0.00,$105.88,1,0.00%,None,$21.18,$9.99,$71.00
951,1/4/2022,New,$148.04,$0.00,$148.04,1,20.00%,Coupon,$37.01,$9.99,$71.00
972,1/4/2022,New,$137.25,$0.00,$137.25,2,15.00%,Coupon,$32.29,$9.99,$71.00
132,1/4/2022,Returning,$88.24,$9.99,$98.23,2,0.00%,None,$17.65,$9.99,$0.00
205,1/4/2022,Returning,$162.75,$0.00,$162.75,3,0.00%,None,$32.55,$9.99,$0.00
504,1/4/2022,Returning,$99.02,$9.99,$109.01,2,33.33%,Bundle,$29.71,$9.99,$0.00
551,1/4/2022,Returning,$138.24,$0.00,$138.24,1,0.00%,None,$27.65,$9.99,$0.00
577,1/4/2022,Returning,$136.27,$0.00,$136.27,1,0.00%,None,$27.25,$9.99,$0.00
592,1/4/2022,Returning,$139.22,$0.00,$139.22,1,0.00%,None,$27.84,$9.99,$0.00
23,1/5/2022,New,$154.90,$0.00,$154.90,1,15.00%,Coupon,$36.45,$9.99,$90.00
69,1/5/2022,New,$134.31,$0.00,$134.31,2,15.00%,Coupon,$31.60,$9.99,$90.00
79,1/5/2022,New,$131.37,$0.00,$131.37,1,20.00%,Coupon,$32.84,$9.99,$90.00
83,1/5/2022,New,$127.45,$0.00,$127.45,2,0.00%,None,$25.49,$9.99,$90.00
84,1/5/2022,New,$137.25,$0.00,$137.25,2,15.00%,Coupon,$32.29,$9.99,$90.00
97,1/5/2022,New,$134.31,$0.00,$134.31,3,15.00%,Coupon,$31.60,$9.99,$90.00
100,1/5/2022,New,$100.98,$0.00,$100.98,3,15.00%,Coupon,$23.76,$9.99,$90.00
105,1/5/2022,New,$122.55,$0.00,$122.55,1,0.00%,None,$24.51,$9.99,$90.00
120,1/5/2022,New,$93.14,$9.99,$103.13,2,15.00%,Coupon,$21.92,$9.99,$90.00
123,1/5/2022,New,$95.10,$9.99,$105.09,2,0.00%,None,$19.02,$9.99,$90.00
145,1/5/2022,New,$119.61,$0.00,$119.61,3,20.00%,Coupon,$29.90,$9.99,$90.00
153,1/5/2022,New,$114.71,$0.00,$114.71,2,0.00%,None,$22.94,$9.99,$90.00
191,1/5/2022,New,$128.43,$0.00,$128.43,3,15.00%,Coupon,$30.22,$9.99,$90.00
192,1/5/2022,New,$70.59,$9.99,$80.58,3,0.00%,None,$14.12,$9.99,$90.00
199,1/5/2022,New,$75.49,$9.99,$85.48,2,15.00%,Coupon,$17.76,$9.99,$90.00
213,1/5/2022,New,$140.20,$0.00,$140.20,3,15.00%,Coupon,$32.99,$9.99,$90.00
215,1/5/2022,New,$168.63,$0.00,$168.63,3,15.00%,Coupon,$39.68,$9.99,$90.00
227,1/5/2022,New,$173.53,$0.00,$173.53,2,20.00%,Coupon,$43.38,$9.99,$90.00
253,1/5/2022,New,$51.96,$9.99,$61.95,1,15.00%,Coupon,$12.23,$9.99,$90.00
256,1/5/2022,New,$98.04,$9.99,$108.03,1,20.00%,Coupon,$24.51,$9.99,$90.00
312,1/5/2022,New,$92.16,$9.99,$102.15,2,0.00%,None,$18.43,$9.99,$90.00
332,1/5/2022,New,$85.29,$9.99,$95.28,2,15.00%,Coupon,$20.07,$9.99,$90.00
365,1/5/2022,New,$149.02,$0.00,$149.02,2,0.00%,None,$29.80,$9.99,$90.00
370,1/5/2022,New,$129.41,$0.00,$129.41,2,0.00%,None,$25.88,$9.99,$90.00
392,1/5/2022,New,$52.94,$9.99,$62.93,1,15.00%,Coupon,$12.46,$9.99,$90.00
404,1/5/2022,New,$144.12,$0.00,$144.12,2,20.00%,Coupon,$36.03,$9.99,$90.00
433,1/5/2022,New,$74.51,$9.99,$84.50,1,0.00%,None,$14.90,$9.99,$90.00
471,1/5/2022,New,$180.39,$0.00,$180.39,3,20.00%,Coupon,$45.10,$9.99,$90.00
492,1/5/2022,New,$175.49,$0.00,$175.49,3,0.00%,None,$35.10,$9.99,$90.00
508,1/5/2022,New,$124.51,$0.00,$124.51,3,15.00%,Coupon,$29.30,$9.99,$90.00
539,1/5/2022,New,$112.75,$0.00,$112.75,2,15.00%,Coupon,$26.53,$9.99,$90.00
548,1/5/2022,New,$166.67,$0.00,$166.67,3,20.00%,Coupon,$41.67,$9.99,$90.00
562,1/5/2022,New,$172.55,$0.00,$172.55,2,0.00%,None,$34.51,$9.99,$90.00
567,1/5/2022,New,$104.90,$0.00,$104.90,2,20.00%,Coupon,$26.23,$9.99,$90.00
590,1/5/2022,New,$146.08,$0.00,$146.08,3,0.00%,None,$29.22,$9.99,$90.00
624,1/5/2022,New,$76.47,$9.99,$86.46,2,0.00%,None,$15.29,$9.99,$90.00
664,1/5/2022,New,$91.18,$9.99,$101.17,3,20.00%,Coupon,$22.80,$9.99,$90.00
674,1/5/2022,New,$149.02,$0.00,$149.02,2,15.00%,Coupon,$35.06,$9.99,$90.00
679,1/5/2022,New,$153.92,$0.00,$153.92,1,20.00%,Coupon,$38.48,$9.99,$90.00
704,1/5/2022,New,$95.10,$9.99,$105.09,1,0.00%,None,$19.02,$9.99,$90.00
746,1/5/2022,New,$124.51,$0.00,$124.51,2,20.00%,Coupon,$31.13,$9.99,$90.00
764,1/5/2022,New,$150.98,$0.00,$150.98,2,15.00%,Coupon,$35.52,$9.99,$90.00
766,1/5/2022,New,$104.90,$0.00,$104.90,1,20.00%,Coupon,$26.23,$9.99,$90.00
809,1/5/2022,New,$148.04,$0.00,$148.04,3,15.00%,Coupon,$34.83,$9.99,$90.00
846,1/5/2022,New,$60.78,$9.99,$70.77,3,15.00%,Coupon,$14.30,$9.99,$90.00
849,1/5/2022,New,$78.43,$9.99,$88.42,2,20.00%,Coupon,$19.61,$9.99,$90.00
866,1/5/2022,New,$152.94,$0.00,$152.94,2,0.00%,None,$30.59,$9.99,$90.00
928,1/5/2022,New,$127.45,$0.00,$127.45,2,15.00%,Coupon,$29.99,$9.99,$90.00
968,1/5/2022,New,$70.59,$9.99,$80.58,1,20.00%,Coupon,$17.65,$9.99,$90.00
199,1/5/2022,Returning,$105.88,$0.00,$105.88,3,13.33%,Bundle,$24.43,$9.99,$0.00
292,1/5/2022,Returning,$135.29,$0.00,$135.29,1,0.00%,None,$27.06,$9.99,$0.00
298,1/5/2022,Returning,$114.71,$0.00,$114.71,3,0.00%,None,$22.94,$9.99,$0.00
369,1/5/2022,Returning,$105.88,$0.00,$105.88,1,0.00%,None,$21.18,$9.99,$0.00
532,1/5/2022,Returning,$169.61,$0.00,$169.61,3,0.00%,None,$33.92,$9.99,$0.00
661,1/5/2022,Returning,$125.49,$0.00,$125.49,2,13.33%,Bundle,$28.96,$9.99,$0.00
22,1/6/2022,New,$50.98,$9.99,$60.97,1,20.00%,Coupon,$12.75,$9.99,$98.00
78,1/6/2022,New,$158.82,$0.00,$158.82,1,20.00%,Coupon,$39.71,$9.99,$98.00
125,1/6/2022,New,$132.35,$0.00,$132.35,3,15.00%,Coupon,$31.14,$9.99,$98.00
128,1/6/2022,New,$54.90,$9.99,$64.89,1,0.00%,None,$10.98,$9.99,$98.00
146,1/6/2022,New,$100.00,$0.00,$100.00,1,15.00%,Coupon,$23.53,$9.99,$98.00
149,1/6/2022,New,$133.33,$0.00,$133.33,3,20.00%,Coupon,$33.33,$9.99,$98.00
160,1/6/2022,New,$155.88,$0.00,$155.88,2,20.00%,Coupon,$38.97,$9.99,$98.00
218,1/6/2022,New,$126.47,$0.00,$126.47,2,15.00%,Coupon,$29.76,$9.99,$98.00
229,1/6/2022,New,$146.08,$0.00,$146.08,2,15.00%,Coupon,$34.37,$9.99,$98.00
321,1/6/2022,New,$139.22,$0.00,$139.22,1,0.00%,None,$27.84,$9.99,$98.00
325,1/6/2022,New,$177.45,$0.00,$177.45,1,20.00%,Coupon,$44.36,$9.99,$98.00
337,1/6/2022,New,$175.49,$0.00,$175.49,3,0.00%,None,$35.10,$9.99,$98.00
